,date,summary,temp,precip,precip_intensity,precip_type,wind,visibility
0,2012-03-25,Mostly Cloudy,58.18,0.0,0.0,,3.05,9.42
1,2012-03-26,Clear,46.53,0.0,0.0,,13.93,10.0
2,2012-03-27,Clear,46.92,0.0,0.0,,6.93,10.0
3,2012-03-28,Partly Cloudy,65.16,0.0,0.0,,5.92,10.0
4,2012-03-29,Clear,51.94,0.0,0.0,,7.73,10.0
5,2012-03-30,Clear,47.23,0.0,0.0,,3.57,10.0
6,2012-03-31,Overcast,48.4,0.0,0.0,,7.67,10.0
7,2012-04-01,Mostly Cloudy,55.98,0.11,0.0032,rain,3.05,9.48
8,2012-04-02,Clear,51.24,0.0,0.0,,3.82,10.0
9,2012-04-03,Partly Cloudy,56.52,0.0,0.0,,3.95,10.0
10,2012-04-04,Clear,64.05,0.0,0.0,,8.75,10.0
11,2012-04-05,Clear,49.77,0.0,0.0,,3.87,10.0
12,2012-04-06,Clear,52.43,0.0,0.0,,7.79,10.0
13,2012-04-07,Clear,56.18,0.0,0.0,,7.5,10.0
14,2012-04-08,Partly Cloudy,60.16,0.0,0.0,,10.6,10.0
15,2012-04-09,Mostly Cloudy,55.13,0.0,0.0,,12.21,10.0
16,2012-04-10,Clear,49.1,0.0,0.0,,13.55,10.0
17,2012-04-11,Partly Cloudy,45.13,0.0,0.0,,9.84,10.0
18,2012-04-12,Partly Cloudy,51.11,0.0,0.0,,6.5,10.0
19,2012-04-13,Clear,51.1,0.0,0.0,,2.54,10.0
20,2012-04-14,Mostly Cloudy,64.46,0.0,0.0,,5.87,10.0
21,2012-04-15,Partly Cloudy,73.19,0.0,0.0,,11.08,10.0
22,2012-04-16,Clear,75.95,0.0,0.0,,8.82,10.0
23,2012-04-17,Partly Cloudy,60.96,0.0,0.0,,7.17,10.0
24,2012-04-18,Overcast,52.15,0.06,0.0023,rain,1.65,8.03
25,2012-04-19,Clear,57.66,0.0,0.0,,4.18,9.96
26,2012-04-20,Clear,61.4,0.0,0.0,,5.97,10.0
27,2012-04-21,Mostly Cloudy,58.01,0.0,0.0,,8.23,9.96
28,2012-04-22,Light Rain,46.79,0.61,0.0206,rain,16.13,9.9
29,2012-04-23,Partly Cloudy,44.36,0.0,0.0,,7.08,10.0
30,2012-04-24,Partly Cloudy,52.3,0.0,0.0,,2.14,10.0
