,year,date,notice
0,2017,"March 14, 2017",Open - 3 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
1,2016,"March 16, 2016",Open with Option for Unscheduled Leave or Unscheduled Telework
2,2016,"February 16, 2016",Open - 3 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
3,2016,"February 9, 2016",Open with Option for Unscheduled Leave or Unscheduled Telework
4,2016,"January 29, 2016",Open with Option for Unscheduled Leave or Unscheduled Telework
5,2016,"January 28, 2016",Open - 3 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
6,2016,"January 27, 2016",Open - 3 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
7,2016,"January 26, 2016",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
8,2016,"January 25, 2016",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
9,2016,"January 22, 2016","FEDERAL OFFICES in the Washington, DC, area remain CLOSED."
10,2016,"January 22, 2016",Open - with Option for Unscheduled Leave or Unscheduled Telework. 4 hours Staggered Early Departure - Employees Must Depart No Later Than 12:00 PM at Which Time Federal Offices are Closed
11,2015,"March 6, 2015",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
12,2015,"March 5, 2015",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
13,2015,"March 3, 2015",Open with Option for Unscheduled Leave or Unscheduled Telework
14,2015,"March 2, 2015",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
15,2015,"February 26, 2015",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
16,2015,"February 18, 2015",Open with Option for Unscheduled Leave or Unscheduled Telework
17,2015,"February 17, 2015",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
18,2015,"January 27, 2015",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
19,2015,"January 26, 2015",Open with Option for Unscheduled Leave or Unscheduled Telework
20,2015,"January 21, 2015",Open with Option for Unscheduled Leave or Unscheduled Telework
21,2015,"January 14, 2015",Open with Option for Unscheduled Leave or Unscheduled Telework
22,2015,"January 12, 2015",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
23,2015,"January 6, 2015",Open with Option for Unscheduled Leave or Unscheduled Telework
24,2014,"March 17, 2014",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
25,2014,"March 4, 2014",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
26,2014,"March 3, 2014",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
27,2014,"February 26, 2014",Open with Option for Unscheduled Leave or Unscheduled Telework
28,2014,"February 14, 2014",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
29,2014,"February 13, 2014",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
30,2014,"February 5, 2014",Open with Option for Unscheduled Leave or Unscheduled Telework
31,2014,"January 22, 2014",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
32,2014,"January 21, 2014",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
33,2014,"January 3, 2014",Open with Option for Unscheduled Leave or Unscheduled Telework
34,2013,"December 10, 2013",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
35,2013,"December 9, 2013",Open - 2 hours Delayed Arrival - With Option for Unscheduled Leave or Unscheduled Telework
36,2013,"November 26, 2013",Open with Option for Unscheduled Leave or Unscheduled Telework
37,2013,"October 17, 2013",Open
38,2013,"October 1, 2013","Due to a lapse in appropriations, Federal government operations vary by agency."
39,2013,"June 13, 2013",Open with Option for Unscheduled Leave or Unscheduled Telework
40,2013,"March 7, 2013",Open
41,2013,"March 6, 2013",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
42,2013,"January 28, 2013",Open - Delayed Arrival - Employees should remain off the roads until 10:00 am. Federal offices will Open at 12:00 noon. Employees have the option for Unscheduled Leave or Unscheduled Telework.
43,2013,"January 25, 2013",Open with Option for Unscheduled Leave or Unscheduled Telework
44,2013,"January 24, 2013",Open with Option for Unscheduled Leave or Unscheduled Telework
45,2013,"January 17, 2013",Open with Option for Unscheduled Leave or Unscheduled Telework
46,2012,"November 1, 2012",Open
47,2012,"October 31, 2012",Open with Option for Unscheduled Leave or Unscheduled Telework
48,2012,"October 30, 2012",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
49,2012,"October 29, 2012",Federal Offices are Closed - Emergency and Telework-ready Employees Must Follow Their Agency's Policies
50,2012,"July 6, 2012",Open
51,2012,"July 5, 2012",Open with Option for Unscheduled Leave or Unscheduled Telework
52,2012,"July 3, 2012",Open with Option for Unscheduled Leave or Unscheduled Telework
53,2012,"July 2, 2012",Open with Option for Unscheduled Leave or Unscheduled Telework
54,2012,"February 8, 2012",Open with option for Unscheduled Leave or Unscheduled Telework
55,2012,"January 23, 2012",Open - Delayed Arrival with option for Unscheduled Leave or Unscheduled Telework
56,2011,"September 9, 2011",Open with option for Unscheduled Leave or Unscheduled Telework
57,2011,"August 29, 2011",Open with option for Unscheduled Leave or Unscheduled Telework
58,2011,"August 25, 2011",Open
59,2011,"August 24, 2011",Open with option for Unscheduled Leave or Unscheduled Telework
60,2011,"August 24, 2011",Open with option for Unscheduled Leave or Unscheduled Telework
61,2011,"August 23, 2011",Early Dismissal
62,2011,"February 22, 2011",Open with option for Unscheduled Leave or Unscheduled Telework
63,2011,"February 2, 2011",Open with option for Unscheduled Leave or Unscheduled Telework
64,2011,"February 1, 2011",Open with option for Unscheduled Leave or Unscheduled Telework
65,2011,"February 1, 2011",Open with option for Unscheduled Leave or Unscheduled Telework
66,2011,"January 27, 2011",Open - Delayed Arrival with option for Unscheduled Leave or Unscheduled Telework
67,2011,"January 26, 2011",Open - Early Departure
68,2011,"January 18, 2011",Open - Delayed Arrival with option for Unscheduled Leave or Unscheduled Telework
69,2010,"December 16, 2010",Open
70,2010,"December 16, 2010",Open with Option for Unscheduled Leave or Unscheduled Telework
71,2010,"April 11, 2010",Open for Nuclear Summit 2010
72,2010,"February 17, 2010",Open
73,2010,"February 16, 2010",Delayed Arrival/Unscheduled Leave
74,2010,February 12,Delayed Arrival/Unscheduled Leave
75,2010,February 11,Closed
76,2010,February 10,Closed
77,2010,February 9,Closed
78,2010,February 8,Closed
79,2010,"February 5, 2010",Unscheduled Leave/Early Dismissal
80,2010,"February 5, 2010",Unscheduled Leave
81,2010,"February 3, 2010",Unscheduled Leave
82,2009,"December 31, 2009",Unscheduled Leave
83,2009,"December 22, 2009",Unscheduled Leave
84,2009,"December 21, 2009",Closed
85,2009,"June 23, 2009","Tuesday, June 23"
86,2009,"March 2, 2009",Delayed Arrival/Unscheduled Leave
87,2009,"January 28, 2009",Unscheduled Leave
88,2008,"June 13, 2008",Power Outage Dismissal
89,2008,"April 14, 2008",Papal Visit Week
90,2008,"February 22, 2008",Unscheduled Leave
91,2008,"February 13, 2008",Delayed Arrival/Unscheduled Leave
92,2007,"December 6, 2007",Unscheduled Leave
93,2007,"February 26, 2007",Unscheduled Leave
94,2007,"February 15, 2007",Unscheduled Leave
95,2007,"February 14, 2007",Delayed Arrival/Unscheduled Leave
96,2007,"February 13, 2007",Early Dismissal
97,2007,"January 22, 2007",Unscheduled Leave
98,2007,"January 2, 2007",Closed for Mourning
99,2006,"June 28, 2006",Unscheduled Leave
100,2006,June 27,Unscheduled Leave
101,2006,"June 26, 2006",Unscheduled Leave
102,2006,"February 13, 2006",Unscheduled Leave
103,2005,"December 9, 2005",Delayed Arrival/Unscheduled Leave
104,2005,"February 28, 2005",Unscheduled Leave
105,2005,"February 24, 2005",Early Dismissal
106,2005,"January 19, 2005",Inauguration Eve 2005
107,2004,"June 11, 2004",Closed for Mourning
108,2004,June 9,Unscheduled Leave Due to Congestion
109,2004,"February 3, 2004",Delayed Arrival
110,2004,"January 28, 2004",Unscheduled Leave
111,2004,January 27 (PM),Early Dismissal
112,2004,January 27 (AM),Unscheduled Leave
113,2004,"January 26, 2004",Unscheduled Leave
114,2003,December 25 and 26,Closed
115,2003,September 19,Closed
116,2003,September 18,Closed
117,2003,March 19,Open
118,2003,March 18,Closed
119,2003,February 28,Unscheduled Leave
120,2003,February 27,Open
121,2003,February 20,Open
122,2003,February 19,Unscheduled Leave
123,2003,February 18,Closed
124,2003,February 7,Delayed Arrival/Unscheduled Leave
125,2003,January 17,Unscheduled Leave
126,2002,December 12,Open
127,2002,December 6,Open
128,2002,December 5,Unscheduled Leave
129,2002,December 4,Open
130,2001,"February 23, 2001",Unscheduled Leave
131,2001,"February 22, 2001",Open
132,2000,April 17,Wash. DC Unscheduled Leave
133,2000,"February 18, 2000",Unscheduled Leave
134,2000,"January 31, 2000",Delayed Arrival/Unscheduled Leave
135,2000,January 26,Closed
136,2000,"January 25, 2000",Closed
137,2000,"January 20, 2000",Unscheduled Leave
138,1999,"October 1, 1999",Building Closure
139,1999,"September 16, 1999",Unscheduled Leave
140,1999,"March 10, 1999",Unscheduled Leave
141,1999,"March 9, 1999",Early Dismissal
142,1999,"January 15, 1999",Unscheduled Leave
143,1999,"January 8, 1999",Open
144,1998,December 24,Delayed Arrival/Unscheduled Leave
145,1998,"January 15, 1998",Unscheduled Leave
