ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
2692,Get Together,NorthGate Brewing,"Minneapolis, MN",American IPA,16 oz.,4.50%,50
2691,Maggie's Leap,NorthGate Brewing,"Minneapolis, MN",Milk / Sweet Stout,16 oz.,4.90%,26
2690,Wall's End,NorthGate Brewing,"Minneapolis, MN",English Brown Ale,16 oz.,4.80%,19
2689,Pumpion,NorthGate Brewing,"Minneapolis, MN",Pumpkin Ale,16 oz.,6.00%,38
2688,Stronghold,NorthGate Brewing,"Minneapolis, MN",American Porter,16 oz.,6.00%,25
2687,Parapet ESB,NorthGate Brewing,"Minneapolis, MN",Extra Special / Strong Bitter (ESB),16 oz.,5.60%,47
2686,Citra Ass Down,Against the Grain Brewery,"Louisville, KY",American Double / Imperial IPA,16 oz.,8.00%,68
2685,London Balling,Against the Grain Brewery,"Louisville, KY",English Barleywine,16 oz.,12.50%,80
2684,35 K,Against the Grain Brewery,"Louisville, KY",Milk / Sweet Stout,16 oz.,7.70%,25
2683,A Beer,Against the Grain Brewery,"Louisville, KY",American Pale Ale (APA),16 oz.,4.20%,42
2682,Rules are Rules,Against the Grain Brewery,"Louisville, KY",German Pilsener,16 oz.,5.00%,25
2681,Flesh Gourd'n,Against the Grain Brewery,"Louisville, KY",Pumpkin Ale,16 oz.,6.60%,21
2680,Sho'nuff,Against the Grain Brewery,"Louisville, KY",Belgian Pale Ale,16 oz.,4.00%,13
2679,Bloody Show,Against the Grain Brewery,"Louisville, KY",American Pilsner,16 oz.,5.50%,17
2678,Rico Sauvin,Against the Grain Brewery,"Louisville, KY",American Double / Imperial IPA,16 oz.,7.60%,68
2677,Coq de la Marche,Against the Grain Brewery,"Louisville, KY",Saison / Farmhouse Ale,16 oz.,5.10%,38
2676,Kamen Knuddeln,Against the Grain Brewery,"Louisville, KY",American Wild Ale,16 oz.,6.50%,N/A
2675,Pile of Face,Against the Grain Brewery,"Louisville, KY",American IPA,16 oz.,6.00%,65
2674,The Brown Note,Against the Grain Brewery,"Louisville, KY",English Brown Ale,16 oz.,5.00%,20
2673,House Lager,Jack's Abby Craft Lagers,"Framingham, MA",Keller Bier / Zwickel Bier,16 oz.,5.20%,18
2672,Leisure Time,Jack's Abby Craft Lagers,"Framingham, MA",American Pale Lager,12 oz.,4.80%,15
2671,Excess IPL,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,16 oz.,7.20%,80
2670,Hoponius Union,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,12 oz.,6.70%,65
2669,Calyptra,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,12 oz.,4.90%,45
2668,Habitus (2014),Mike Hess Brewing Company,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.00%,100
2667,Solis,Mike Hess Brewing Company,"San Diego, CA",American IPA,16 oz.,7.50%,85
2666,Jucundus,Mike Hess Brewing Company,"San Diego, CA",Wheat Ale,16 oz.,6.00%,24
2664,Habitus,Mike Hess Brewing Company,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.00%,100
2663,Grazias,Mike Hess Brewing Company,"San Diego, CA",Cream Ale,16 oz.,6.30%,30
2662,Claritas,Mike Hess Brewing Company,"San Diego, CA",Kölsch,16 oz.,5.80%,28
2661,Park,Fort Point Beer Company,"San Francisco, CA",American Pale Wheat Ale,12 oz.,4.70%,19
2660,Westfalia,Fort Point Beer Company,"San Francisco, CA",American Amber / Red Ale,12 oz.,5.60%,16
2659,KSA,Fort Point Beer Company,"San Francisco, CA",Kölsch,12 oz.,4.60%,17
2658,Villager,Fort Point Beer Company,"San Francisco, CA",American IPA,12 oz.,6.30%,42
2657,Blackbeard,COAST Brewing Company,"Charleston, SC",American Double / Imperial Stout,12 oz.,9.30%,N/A
2656,Rye Knot,COAST Brewing Company,"Charleston, SC",American Brown Ale,12 oz.,6.20%,N/A
2655,Dead Arm,COAST Brewing Company,"Charleston, SC",American Pale Ale (APA),12 oz.,6.00%,N/A
2654,32°/50° Kölsch,COAST Brewing Company,"Charleston, SC",Kölsch,16 oz.,4.80%,N/A
2653,HopArt,COAST Brewing Company,"Charleston, SC",American IPA,16 oz.,7.70%,N/A
2652,Boy King,COAST Brewing Company,"Charleston, SC",American Double / Imperial IPA,16 oz.,9.70%,N/A
2650,Denver Pale Ale (Artist Series No. 1),Great Divide Brewing Company,"Denver, CO",American Pale Ale (APA),12 oz.,5.00%,N/A
