,link,title,date,tag0,tag1,tag2,tag3,tag4,body
0,http://theonion.com/article/black-guy-asks-nation-for-change-2409,"Black Guy Asks Nation For Change
","March 19, 2008",Politics,Politicians,Presidents,Campaigns,,"[u'CHICAGO\u2014According to witnesses, a loud black man approached a crowd of some 4,000 strangers in downtown Chicago Tuesday and made repeated demands for change.', u'""The time for change is now,"" said the black guy, yelling at everyone within earshot for 20 straight minutes, practically begging America for change. ""The need for change is stronger and more urgent than ever before. And only you\u2014the people standing here today, and indeed all the people of this great nation\u2014only you can deliver this change.""', u'It is estimated that, to date, the black man has asked every single person in the United States for change.', u'""I\'ve already seen this guy four times today,"" Chicago-area ad salesman Blake Gordon said. ""Every time, it\'s the same exact spiel. \'I need change.\' \'I want change.\' Why\'s he so eager for all this change? What\'s he going to do with it, anyway?""', u'After his initial requests for change, the black man rambled nonstop on a variety of unrelated topics, calling for affordable health care, demanding that the government immediately begin withdrawing troops from Iraq, and proposing a $75 billion economic stimulus plan to create new jobs.', u'""What a wacko,"" Schaumburg, IL resident Patrick Morledge said. ""And, of course, after telling us all about how he had the ability to magically fix everything, he went right back to asking for change. Typical.""', u'""If he\'s really looking for change, he\'s got the wrong guy,"" Morledge added.', u'Reports indicate that the black man has been riding from city to city across the country, asking for change wherever he goes. Citizens in Austin, TX said they spotted the same guy standing on the street Friday, shouting far-fetched ideas about global warming. Cleveland residents also reported seeing him in a local park, wildly gesticulating and quoting from the Bible. And last week, patrons at the Starlight Diner in Cheyenne, WY claimed that the black man accosted them while they were eating, repeatedly requesting change.', u'""I saw him walk in and I knew he was headed straight for our table,"" said mother of three Gladys Davies. ""He just stood there smiling at us for a while, and asked how our food tasted. Then he went and did the same thing at the next table over. The nerve of some people.""', u'Those who encountered the black man Tuesday said he engaged in erratic behavior, including pointing at random people in the crowd and desperately saying he needs their help, going up to complete strangers and hugging them, and angrily claiming that he is not looking for just a little bit of change, but rather a great deal of change, and that he wants it ""right now.""', u'""I\'ll be honest, when that black guy said he would \'stop at nothing\' to get change, it kind of scared me,"" local mechanic Phil Nighbert said. ""Just leave me alone.""', u""Though many were taken aback by the black man's brazen demands, some, such as Jackson, MS's Holly Moser, sympathized with him. She gave the black man credit for boldly standing up and asking every last person around him for change. "", u'""I told him I\'d give him some if I saw him later, even though I probably won\'t,"" Moser said. ""Very nice man, though.""', u'Most, however, ignored his requests. ', u'""I\'m a hardworking American who pays his taxes, and the last thing I need is some guy on the street demanding change from me,"" said William Overkamp, a Springfield, IL gun-shop owner.', u'He added, ""What he really needs is a job."" ']"
1,http://theonion.com/article/obama-clinton-mccain-join-forces-to-form-nightmare-2455,"Obama, Clinton, McCain Join Forces To Form Nightmare Ticket
","May 21, 2008",Politics,War For The White House,Hillary Clinton,John Mccain,Barack Obama,"[u'WASHINGTON\u2014Presidential hopefuls John McCain (R-AZ), Barack Obama (D-IL), and Hillary Clinton (D-NY) announced Monday their plans to form what many Beltway observers have already dubbed the ""2008 Nightmare Ticket,"" a calculated move that political analysts say offers voters the worst of both worlds.', u""After nearly a year of verbal attacks and negative campaign ads, the nominees announced that, for the good of the country, they were willing to push their differences to the forefront and grant the American people the ticket they've been dreading all along. "", u'""No other ticket is capable of rallying this nation around a clearer, more unified message of chaos and hopelessness,"" the candidates said in unison from three separate podiums, each adorned with its own American flag arrangement and personal message. ""Together, we will lead this nation into the future\u2014a future where absolute deadlock over even the most minute decisions and total inefficiency on matters of the war, the economy, and the environment will launch a bold new age of confusion and social decay. For America, the only choice is [indecipherable]!""', u'The candidates said they had not yet decided who would fill the offices of president, vice president, and a new post the nominees are calling ""the middle president."" They did, however, confirm that each would choose his or her own full cabinet, would be able to veto any bills the others sign into law, and would reserve the right to cast the tie-breaking, tie-making, and tie-rebreaking votes in the Senate.', u'""This nightmare ticket presents the American people with an unprecedented lack of opportunity in 2008,"" Washington Post columnist Richard Cohen wrote Tuesday. ""For just one vote, citizens will get four years of McCain\'s brilliant temper, the incredible inexperience of Barack Obama, and the powerful two-headed monster of Hillary and Bill Clinton.""', u'""It will be very exciting to see what they\'re capable of destroying, "" Cohen added. ', u'According to campaign managers, the triple ticket will run on a revolutionary new platform crafted during three highly contentious weeks in April. ', u""At the top of the platform is a military strategy calling for the phased withdrawal of .000006 brigades from Iraq and Afghanistan every seven months over the next 350 years. Universal health care would also be provided, taken away on McCain's birthday, and then provided again only to those wealthy enough to afford it. Abortions would be made available on every other even-numbered Friday from 3:00 to 4:00 p.m. EST to all women who can prove residency in Alaska or Nevada. And an entirely new immigration policy will be instituted, sources said, as soon as the candidates can stand to be in the same room with one another for more than five minutes. "", u'Aides to Sen. Clinton also confirmed that the trio plans to create two separate federal governments\u2014one large and one small\u2014which would be instituted within the first 100 days of the Clinton/McCain/Obama White House or, according to Obama chief strategist David Axelrod, the Obama/McCain/Clinton White House. ', u'""Getting three political all-stars together like this is a clear lose-lose-lose situation for everyone involved,"" NBC correspondent Andrea Mitchell said. ""By themselves, none would have been capable of uniting the country. But the possibilities of what they could do together to drive it ever further apart are limitless.""', u'A CBS News/New York Times poll taken after the announcement revealed that the nightmare ticket has invigorated almost all voters, inspiring blacks, whites, senior citizens, college graduates, liberals, conservatives, both blue-collar and white-collar workers, and military veterans alike to remain at home by the millions this November, exercising their American right not to vote.', u'""So now a vote for Clinton is also a vote for McCain and Obama?"" 43-year-old West Virginia resident Joe Biller said. ""Jesus Christ.""', u'Added Biller. ""Looks like I\'ll be going with Nader/LaRouche/Sharpton/Ventura/Edwards after all."" ']"
2,http://theonion.com/article/obama-practices-looking-off-into-future-pose-2459,"Obama Practices Looking-Off-Into-Future Pose
","May 28, 2008",Politics,War For The White House,Barack Obama,,,"[u""CHICAGO\u2014As the 2008 presidential election draws closer, Democrat Barack Obama has reportedly been working tirelessly with his top political strategists to perfect his looking-off-into-the-future pose, which many believe is vital to the success of the Illinois senator's campaign."", u'When performed correctly, the pose involves Obama standing upright with his back arched and his chest thrust out, his shoulders positioned 1.3 feet apart and opened slightly at a 14-degree angle, and his eyes transfixed on a predetermined point between 500 and 600 yards away. Advisers say this creates the illusion that Obama is looking forward to a bright future, while the downturned corners of his lips indicate that he acknowledges the problems of the present.', u'\n', u""Obama's advisers have created a computer model to simulate the optimal looking-off-into-the-future pose."", u'""The senator spends six hours a day gazing resolutely off into the distance,"" said chief political strategist David Axelrod, who regularly analyzes video of the pose with Obama, pinpoints areas that need improvement, and makes necessary tweaks.', u'""It is critical to get every detail right,"" Axelrod continued. ""If he looks up an inch too high, he appears aloof or confused. If he looks down too low, it appears that he is distracted by something in the back of the auditorium. If the curvature of his upper lip is not at the exact 0.87-centimeter radius, it reads that he does not care about preserving the environment for future generations.""', u""The pose also requires Obama to arch his eyebrows at 32-degree angles, open his mouth to prevent the misconception that he is frowning about the future, and briefly flare his nostrils to convey faith in the nation's children."", u'He must then clench his jaw with sufficient force to express strength and decisiveness\u2014if he uses too much force, Axelrod said, his supraorbital forehead vein becomes visible and makes it appear as though he is in physical pain.', u'""Every millimeter of that head vein costs him 150,000 votes,"" Axelrod said.', u'To complete the pose, Obama must then open his eyes at an aperture of 1.43 centimeters, tilt his chin slightly upward, and rotate his head 37 degrees to the left. His advisers stressed that he must always look to the left.', u'""When you look to the future, you look to the left,"" Axelrod said. ""Looking to the right is an I-am-sorry-for-the-mistakes-I\'ve-made-in-the-past-but-promise-to-work-my-hardest-for- this-great-nation-from-now-on pose. It\'s too early for that.""', u'The biggest obstacle Obama has had to overcome in recent weeks is his proclivity to squint while looking toward the future, which aides say alienates voters.', u'""We\'ve worked on the squinting,"" said Obama adviser Sam Hosking, who claimed it was a ""death knell"" for a candidate to appear to be struggling to see the nation\'s future. ""It took a lot of work, but we were able to turn the squint into a solemn blink.""', u'""The blink humanizes him,"" Hosking added. ""But you have to be careful. Two blinks and people will start to question if he\'s a man of his word.""', u'Obama has also worked on increasing the speed with which he can strike the pose. Advisers say that it is critical for him to be able to quickly and seamlessly transition into the looking-off-into-the-future pose at any moment, especially during applause breaks in his speeches, while being photographed from low angles, and whenever there is a large American flag waving gently behind him.', u""Obama's advisers have recently given him clearance to nod resolutely upon completing the looking-off-into-the-future pose."", u'""A nod is acceptable,"" Hosking said. ""The American people respond well to nods.""', u""Although Obama's pose has been modified and fine-tuned over the course of the campaign, some pundits claim that Obama's original looking-off-into-the-future pose was the strongest and most believable."", u'""I fell in love with the chin-three-inches-from-the-neck Barack Obama,"" said longtime Obama supporter and MoveOn.org employee Peter Koechley. ""I just don\'t know if a chin-four-inches-from-the-neck or, even worse, a chin-two-inches-from-the-neck Obama is the same Obama that first inspired me.""', u'As soon as Obama masters his looking-off-into-the-future pose, aides say he will begin honing his looking-straight-down-and-gripping-the-lectern-while-taking-a-deep-breath-to- communicate-both-his-rise-from-humble-roots-and-his-dedication-to-upholding- the-honor-and-responsibility-of-the-presidency-while-still-fully-understanding- the-historical-significance-of-the-moment pose.']"
3,http://theonion.com/article/time-publishes-definitive-obama-puff-piece-2487,"'Time' Publishes Definitive Obama Puff Piece
","July 18, 2008",Politics,War For The White House,Barack Obama,,,"[u""NEW YORK\u2014Hailed by media critics as the fluffiest, most toothless, and softest-hitting coverage of the presidential candidate to date, a story in this week's Time magazine is being called the definitive Barack Obama puff piece."", u'""No news publication has dared to barely scratch the surface like this before,"" columnist and campaign reporter Michael King wrote in The Washington Post Tuesday. ""This profile sets a benchmark for mindless filler by which all other features about Sen. Obama will now be judged. Just impressive puff-journalism all around.""', u'The 24-page profile, entitled ""Boogyin\' With Barack,"" hit newsstands Monday and contains photos of the candidate as a baby, graduating from Columbia University, standing and laughing, holding hands with his wife and best friend, Michelle, greeting a crowd of blue-collar autoworkers, eating breakfast with diner patrons, and staring pensively out of an airplane window while a pen and legal pad rest comfortably on his lowered tray table. ', u'According to political analysts, the Time piece features the most lack-of-depth reporting on Obama ever published, and for the first time reveals a number of inconsequential truths about the candidate, including how he keeps in shape on the campaign trail, and which historical figures the presidential hopeful would choose to have dinner with. ', u'""The sheer breadth of fluff in this story is something to be marveled at,"" New York Times Washington bureau chief Dean Baquet said. ""It\'s all here. Favorite books, movies, meals, and seasons of the year ranked one through four. Sure, we asked Obama what his favorite ice cream was, but Time did us one better and asked, \'What\'s your favorite ice cream, really?\'"" ', u'Time managing editor Rich Stengel said he was proud of the Obama puff piece, and that he hoped it would help to redefine the boundaries of journalistic drivel. ', u'""When the American people cast their vote this November, this is the piece of fluff they\'re going to remember,"" Stengel said. ""Not the ones by Newsweek, Harper\'s, The New Yorker, The Atlantic, The New Republic, The Economist, Nightline, The Wall Street Journal, or even that story about lessons Obama learned from his first-grade teacher we ran a month ago.""', u'The article, which follows Obama for 12 days during his campaign, was written by reporter Chris Sherwood, and is relentless in its attempt to capture the candidate at his most poised and polished. Sherwood said the profile easily trumps all other fluff pieces in its effort to expose the presidential candidate for who he really is: ""an awesome guy."" ', u'""My editors told me that if I wanted to uncover the most frivolous, trivial information on Obama, I had to be prepared to follow the puff,"" Sherwood said. ""That meant that not only did I have to stay and watch Sen. Obama play endless games of basketball with city firemen to show readers how athletic and youthful he is, but I also had to go to NBA shooting experts to learn what aspects of his jump shot are good and what parts are great.""', u'Sherwood said he was granted full access to the candidate, and was permitted by chief strategist David Axelrod to ask any question he desired\u2014an opportunity the reporter used to lob the easiest softballs at Obama yet, ranging from how happy he felt when he met his wife to what songs are currently on his iPod playlist. Sherwood was also fearless in his effort to paint the candidate as someone who is ""surprisingly down to earth,"" a phrase that is used a total of 26 times throughout the feature. ', u'""If we were going to get the story we wanted, it was my responsibility as a journalist to ask the really tough questions to his two young daughters,"" said Sherwood, who grilled Malia and Sasha Obama, 9 and 7, about whether they were ""proud of [their] daddy."" ""I also had to capitalize on every opportunity to compare the story of Obama\'s upbringing and rise to power to that of Martin Luther King, Jr.\'s and John F. Kennedy\'s, no matter how suspect those parallels really are."" ', u'According to the Time reporter, work on the profile was often harder than he had anticipated, with Obama at times dodging questions about whether or not he played a musical instrument, and about what Monopoly piece he thought best represented his candidacy and why. ', u'""Situations like these are when you have to get on the phone and talk, not only to his mother, but to his aunt, his uncle, a Boy Scout leader, or maybe even one of his camp counselors growing up,"" Sherwood said. ""And if they don\'t return your call, you turn to Sunday school teachers and former babysitters\u2014anyone who is willing to go on record and say that Barack Obama was a really good kid who was destined for great things.""', u'Added Sherwood, ""It\'s all about getting the factoids out in the open."" ', u""Readers have so far responded favorably to the piece, with sales of the latest issue of Time nearly tripling that of an issue last month featuring a 36-page expos\xe9 that tore apart and vilified former candidate Hillary Clinton's health-care plan. "", u'""I\'m not quite sure how he intends to turn around the economy or get us out of Iraq,"" said California resident Geoff Mills, an ardent Obama supporter who read the Time story. ""But any man who prefers his steak cooked medium-rare has my vote."" ']"
4,http://theonion.com/article/obamas-hillbilly-half-brother-threatening-to-derai-2505,"Obama's Hillbilly Half-Brother Threatening To Derail Campaign
","August 13, 2008",Politics,Family,Presidents,Rural,War For The White House,"[u""BOONEVILLE, KY\u2014Barack Obama's once-commanding lead in the polls slipped to two points Monday, continuing a month-long slide that many credit to the recent appearance of the Democratic candidate's heretofore unknown half-brother, Cooter Obama."", u""Long kept a family secret, the overalls-clad, straw-chewing Kentuckian first entered the public spotlight in July, when he drove his 1982 Ford flatbed pickup through the press corps at an Obama rally in order to inform his brother that he caught the skunk that had been living under his front porch. According to witnesses, Cooter's skunk proceeded to spray Washington Post political reporter Michael D. Shear in the face."", u'""Sorry \'bout that, mister! Some tomater juice\'ll take care of the stank,"" Cooter said as his mortified younger brother led him off the stage. ""Shoot, Barack, you didn\'t tell me you was runnin\' for president!""', u""Since Cooter's emergence on the national scene, the Obama campaign has downplayed the brothers' relationship. A statement issued last week by Obama's top adviser, David Axelrod, claimed that the two lived together only for a brief period in 1981, shortly before Barack left to attend Columbia University and Cooter had to drop out of chicken-killing school because an air conditioner fell on his head."", u'Nonetheless, political experts said Cooter\'s increased visibility in recent weeks has hurt Obama\'s polling among urban, upper-middle-class, non-straw-hat-wearing voters. The Obama camp has scrambled to control the damage caused by Cooter\'s penchants for loudly practicing his banjo during Obama\'s speeches, repeatedly referring to Barack by his childhood nickname, ""Ol\' Jelly Legs,"" and chasing his troublemaking pig, Mbogo, in the nude in the background of Obama\'s CNN interview on the importance of education.', u'The problem came to a head last week, advisers said, when Cooter arrived unannounced at a $100-a-plate fundraiser, slipped past security, and proffered a jug of moonshine to the high-society donors, claiming it would ""straighten their curlies."" In addition, dozens of would-be attendees at a Cedar Rapids, IA town-hall meeting Sunday were turned away at the door by the elder Obama, who was sitting at the entrance in a rocking chair and brandishing a double-barreled shotgun.', u'""What Sen. Obama\'s half-brother meant to communicate was that he was pleased that the candidate\'s message of change is fostering vigorous dialogue,"" Obama campaign spokesman Bill Burton said following the incident. ""In no way was his proposal to \'fill y\'all\'s backsides with rock salt\' intended to be taken in any other way.""', u'In the past two weeks, Obama has lost support from such groups as PETA, which withdrew its endorsement when Cooter punched a swan in the face, claiming it was ""one of them mean ones""; the Clean Energy Group, which protested Cooter\'s recent attempt to fry a squirrel in a flaming 20-gallon barrel of diesel fuel; and Sen. John Kerry (D-MA), whom Cooter mistook for an outhouse Monday and urinated on for 35 seconds.', u'""I thought we would be able to escape controversy by leaving the country for a week and visiting Iraq and Europe,"" an unnamed source in the Obama camp told reporters. ""Little did we know that Cooter would command just as much attention back home by getting drunk with the Russian ambassador, lighting off fireworks, and crashing Obama\'s campaign limo into a creek in the Ozark Mountains.""', u""Despite the setbacks he has caused, Cooter has secured a small but devoted following, and has occasionally managed to reflect well on the campaign. At a speaking engagement to which Obama arrived two hours late, Cooter kept the crowd's spirits up by breaking out a washtub string bass and a washboard and holding an impromptu hoedown."", u'Although his primary focus has been to support his brother, Cooter Obama said he is not without political aspirations of his own.', u'""Shoot, I\'m helpin\' because I love my brother,"" Cooter said. ""Maybe if he gets elected he can make me Secretary of Moonshine. Course, that don\'t mean I ain\'t votin\' for the other fella. Ol\' Jelly Legs wants to take my guns away."" ']"
5,http://theonion.com/article/obama-modifies-yes-we-can-message-to-exclude-area--2517,"Obama Modifies 'Yes We Can' Message To Exclude Area Loser
","August 27, 2008",Politics,Self-Improvement,Elections,War For The White House,Barack Obama,"[u'COLUMBIA, SC\u2014In a nationally televised speech Friday, Democratic presidential candidate Barack Obama altered his vision of a unified America to exclude Dayton, OH loser Nate Walsh.', u""According to Obama, the 32-year-old Walsh, who has lived with his parents intermittently since receiving his associate's degree in 2001 and still does not have a credit card in his own name, no longer figures into the senator's long-term plan of rallying Americans from all walks of life around a common, higher purpose."", u'""People of South Carolina, people of the world, this is our time, this is our moment,"" Obama said before 72,000 supporters at the University of South Carolina\'s Williams-Brice Stadium. ""That is, unless you live in apartment 3L at 1254 Holden St., you watched Money Train on TBS last night at 3 a.m., and your name is Nate Walsh.""', u'""I have always said that the change we seek will not come easy, that it will not come without its share of sacrifice and struggle,"" Obama continued. ""And the last thing we need is dead weight like Nate Walsh adding another 20 or 30 years to the process.""', u'The speech, entitled ""A More Perfect Union Minus Nate Walsh,"" was 26 minutes long and contained the words ""change"" 12 times, ""hope"" 16 times, and ""Nate,"" in conjunction with the phrase ""with the exception of,"" 34 times.', u'Although Obama remained vague on issues such as health care and foreign policy, the Illinois senator was praised for finally publicly addressing the issue of Nate Walsh. Obama took a hard-line stance on Walsh, calling the part-time driving-range employee the lone aspect of America he doesn\'t believe in, a citizen who can languish in the past for all he cares, and ""on top of everything else, kind of a jerk.""', u'""When I began this campaign, my mission was to help this nation share my vision for one America\u2014not a black America, or a white America, or a Latino or Asian America,"" Obama said. ""But now what I see, what I envision, is a Nate-free America. And once we get rid of that guy, there is nothing we can\'t accomplish. Nothing we can\'t achieve.""', u""According to campaign strategist David Axelrod, Walsh's failure to remember his mother's birthday five years in a row, along with the fact that for the entire month of July he washed his hair with a bar of soap because he was too lazy to purchase shampoo, are examples of the kind of hopelessness Obama is trying to avoid."", u'""I am reminded of an instance early last year when Nate told his sister, Elizabeth, that he was going to start going to the gym three times a week after work,"" Obama said. ""I was rooting for Nate. I thought that this time things would be different. That this time Nate would be capable of change. But it was just like 1997, 1999, 2000, and 2002 all over again. He went to the gym twice and quit.""', u'""What a loser,"" Obama added.', u""In the hours following the speech, members of the McCain camp scrambled to respond to Obama's views on Walsh. In a statement last night, McCain applauded Obama's position on the loser, but criticized him for not offering any real solutions to the Nate Walsh problem. McCain went on to promise that, if elected, he would rid the world of Walsh within his first 48 hours in office without raising taxes."", u""Perhaps the most stirring moment of Obama's speech came at its conclusion, when he reasserted his call for change on the part of everyone except Walsh, whom he urged to just change the channel to the Golden Girls marathon on Lifetime like he knows he wants to."", u'""People of America, not Nate, we have the ability to heal this nation,"" Obama said. ""Yes we can, Nate excluded, seize our future. Yes we can, with the exception of Nate and his stupid cargo shorts that he never washes, turn the page to a new tomorrow. I am confident that where we\u2014and by \'we\' I mean everyone but Nate\u2014are met with cynicism and doubt and fear and those who tell us that we can\'t, we\u2014again, not Nate\u2014will respond with that timeless creed that sums up the spirit of the American people in six simple words: Yes we can, except Nate Walsh.""', u'Added Obama: ""God bless the people of South Carolina, God bless America, and fuck you, Nate."" ']"
6,http://theonion.com/article/obama-suddenly-panicked-after-gazing-too-far-into--6314,"Obama Suddenly Panicked After Gazing Too Far Into Future
","September 11, 2008",Politics,Time Travel,War For The White House,Barack Obama,,"[u'MADISON, WI\u2014Sen. Barack Obama (D-IL) fell deathly silent in the middle of a speech on education before the Wisconsin Teachers Union Tuesday, his failure of words reportedly a result of the Democratic nominee\'s forward-looking tendencies suddenly bringing him a harrowing glimpse of a future world shaped by madness and horror. ""And that is why we must all strive to make our own tomorrow together,"" Obama said to resounding applause before stopping abruptly, breaking into a cold sweat, and bringing his trembling hands to his blanched face. ""Oh, God, no. They\'re sentient. Every last one of them is sentient!"" While spokespeople from the Obama camp have suggested that the candidate\'s recent comments about magnets being ""our only hope for survival"" were taken out of context, they did confirm that he has canceled all future appearances in New Mexico, especially those taking place during the month of October.']"
7,http://theonion.com/article/obama-deletes-another-unread-moveonorg-e-mail-2531,"Obama Deletes Another Unread MoveOn.org E-Mail
","September 17, 2008",Politics,War For The White House,Barack Obama,,,"[u'CHICAGO\u2014After receiving yet another unwanted e-mail from liberal political action group MoveOn.org Monday, Democratic presidential candidate Barack Obama deleted the message from his inbox without even glancing at its contents.', u'""Ugh, not these people again,"" Obama was overheard to say as he placed the unread e-mail into the Gmail folder marked ""Trash.""', u'According to official records, the e-mail, entitled ""50,000 Obama buttons?"" was sent at 6:47 a.m. on Tuesday morning. Aides say that Obama checked his mail at 7 a.m. before leaving for a charity fundraiser, and appeared visibly dismayed upon realizing that his new message was from MoveOn.org.', u'""It seems like every time I turn on my computer, another goddamn MoveOn.org e-mail pops up,"" said Obama, noting that this is the third message from the progressive online organization he has deleted in the past week. ""How many of these things am I going to get?""', u'""They already know I\'m going to vote for Obama,"" Obama added. ""The only people who sign up for this thing are Democrats anyway. They\'re just preaching to the choir.""', u'', u'Obama reportedly joined the MoveOn.org mailing list while attending the 2004 Democratic National Convention in Boston. Although he was initially intrigued by the idea of receiving newsletters and updates from a group of like-minded, politically active Americans, Obama said the nonstop deluge of e-mails has made him regret his decision.', u'""I usually get excited when I see that I have one unread message,"" Obama said. ""I think that maybe it\'s something interesting or important, but then I see it\'s another MoveOn e-mail and my heart just sinks. It\'s like getting nothing.""', u'Obama has deleted approximately 25 e-mails from MoveOn.org in the past two months. In addition, Obama\'s junk folder contains nearly 60 messages from various MoveOn employees and members whose e-mail addresses Obama has previously flagged as spam. Perhaps most telling of his recent frustrations, Obama\'s mail records confirm that, in April 2008, he replied to a MoveOn.org e-mail entitled ""10 Things You Need to Know About John McCain"" with the message ""Shut up.""', u'Obama, who has traveled across the nation advocating unity among all races and social classes, said he was tired of the onslaught of MoveOn e-mails alleging the organization is making a difference with free campaign buttons, meet-ups, and ""make your own Obama video"" contests.', u'""I tried to skim over a few of them at first, but after a while, it\'s like, \'enough,\'"" said Obama, who noted that a pro-Obama house party should never be touted as ""historic."" ""The other day, four people sent me the same freaking petition. The same one. How many times do I have to sign this?""', u'""I know this election is important and everything,"" Obama added. ""But these people seriously need to relax.""', u'Although he acknowledged that it takes little time and effort to discard the unwanted messages, the senator said that MoveOn has nonetheless become a nuisance. In recent weeks, he has begun automatically deleting any e-mail in which he sees the name ""Barack Obama"" in the subject line, which has only created further problems.', u'""Shortly after the DNC, I accidentally erased a personal message from my grandmother congratulating me on my nomination,"" Obama said. ""Way to go, MoveOn.org.""', u'According to Obama, however, the most annoying aspect of the MoveOn e-mails is the ""self-righteous manner"" in which the political advocacy group\'s mostly white employees have appropriated his campaign message and used it as their own.', u'""It\'s irritating that these people think they\'re doing everybody this great service just by clicking \'send\' a million times,"" Obama said. ""I\'m trying to make the world a better place, but with all the time I\'ve been spending deleting e-mails, it\'s going to take me forever.""']"
8,http://theonion.com/article/parents-of-obama-volunteer-couldnt-be-more-proud-s-6378,"Parents Of Obama Volunteer Couldn't Be More Proud, Sick Of Son
","October 2, 2008",Politics,War For The White House,Barack Obama,,,"[u'OAK PARK, IL\u2014Parents of Obama \'08 campaign volunteer Mark Lowe said their son\'s selfless work for the Illinois senator has shown the 22-year-old to be mature, civic-minded, and absolutely unbearable to talk to.  ""I remember when I was going to vote for Hillary Clinton in the primary, and [Mark] spoke for 30 minutes about how Obama is the next Kennedy, the only candidate capable of bringing real change, and how Hillary embodies everything that\'s wrong with Washington,"" David Lowe, 58, said. ""It\'s incredible that he\'s so passionate about our nation\'s future, and now he really needs to shut the hell up.""  Lowe, who spends up to 40 hours a week sending e-mails, making phone calls, and engaging complete strangers in drawn-out discussions about Obama\'s message of hope as he canvasses door-to-door, is expected to cost the Democratic nominee some 15,000 votes.']"
9,http://theonion.com/article/obama-clinches-joe-cabernet-sauvignon-vote-6390,"Obama Clinches 'Joe Cabernet Sauvignon' Vote
","October 8, 2008",War For The White House,Barack Obama,,,,"[u'WASHINGTON\u2014Following a strong performance by the Democratic nominee in Tuesday\'s presidential debate, political analysts overwhelmingly agree that Sen. Barack Obama has all but clinched the much-sought-after ""Joe Cabernet Sauvignon"" voting bloc. ""Once again, Obama has proved his ability to speak directly to all the regular truffle-oil-guzzlin\', Nabokov-readin\', opera-attendin\' folks who play such an important part in deciding this election,"" MSNBC commentator Chris Matthews said of the Illinois senator\'s strong connection with the nation\'s hardworking gallery owners, literary critics, and gourmet-cheese purveyors. ""His strong rapport with the average haut monde Joseph could tip the scales Nov. 4."" Sen. John McCain\'s recent attempts to reach out to this constituency by wearing an elegant silk ascot were not well received, having been described in most quarters as ""pandering of the most contemptuous variety.""']"
