,links
0,/graphic/area-man-a-little-too-old-to-have-obama-fever-9986
1,/article/black-guy-asks-nation-for-change-2409
2,/article/obama-clinton-mccain-join-forces-to-form-nightmare-2455
3,/article/obama-practices-looking-off-into-future-pose-2459
4,/article/time-publishes-definitive-obama-puff-piece-2487
5,/article/obamas-hillbilly-half-brother-threatening-to-derai-2505
6,/article/obama-modifies-yes-we-can-message-to-exclude-area--2517
7,/video/portrayal-of-obama-as-elitist-hailed-as-step-forwa-14263
8,/article/obama-suddenly-panicked-after-gazing-too-far-into--6314
9,/article/obama-deletes-another-unread-moveonorg-e-mail-2531
10,/video/obama-promises-to-stop-americas-shitty-jobs-from-g-14269
11,/video/obama-runs-constructive-criticism-ad-against-mccai-14272
12,/article/parents-of-obama-volunteer-couldnt-be-more-proud-s-6378
13,/article/obama-clinches-joe-cabernet-sauvignon-vote-6390
14,/article/obama-under-fire-for-playing-t-ball-during-vietnam-6392
15,/article/southern-sheriff-pulls-over-obama-campaign-bus-for-2579
16,/graphic/obama-purchases-ad-space-on-side-of-mccains-bus-10071
17,/video/obama-undertakes-presidential-internship-to-ease-c-14283
18,/article/i-would-make-a-bad-president-obama-says-in-huge-ca-2588
19,/article/as-election-draws-near-area-man-moves-to-all-obama-6428
20,/graphic/fleet-of-stem-cell-container-trucks-ready-to-go-if-10074
21,/article/obama-warns-he-may-cease-to-exist-unless-america-b-6426
22,/article/obamas-record-breaking-fundraising-effort-bankrupt-6434
23,/article/black-man-given-nations-worst-job-6439
24,/article/hillary-clinton-resumes-attacking-obama-6440
25,/article/nation-finally-shitty-enough-to-make-social-progre-2594
26,/video/obama-win-causes-obsessive-supporters-to-realize-h-14287
27,/article/kobe-bryant-scores-25-in-holy-shit-we-elected-a-bl-2598
28,/article/international-con-man-barack-obama-leaves-us-with--2600
29,/article/us-economy-continues-campaigning-for-barack-obama-6484
30,/article/barack-obama-defeats-barack-hussein-obama-2624
31,/video/congress-debates-adding-elaborate-dance-to-obamas--14302
